DATE,CUSR0000SETB01_PC1
1968-01-01,1.90114
1968-02-01,2.67176
1968-03-01,2.68199
1968-04-01,0.37879
1968-05-01,0.75758
1968-06-01,1.13636
1968-07-01,1.51515
1968-08-01,2.27273
1968-09-01,0.74906
1968-10-01,1.89394
1968-11-01,1.11940
1968-12-01,1.89394
1969-01-01,1.11940
1969-02-01,1.11524
1969-03-01,3.35821
1969-04-01,5.28302
1969-05-01,4.51128
1969-06-01,4.86891
1969-07-01,3.73134
1969-08-01,2.96296
1969-09-01,2.97398
1969-10-01,3.34572
1969-11-01,1.47601
1969-12-01,2.97398
1970-01-01,1.84502
1970-02-01,2.20588
1970-03-01,-1.80505
1970-04-01,1.43369
1970-05-01,1.07914
1970-06-01,-0.71429
1970-07-01,0.71942
1970-08-01,-1.07914
1970-09-01,0.00000
1970-10-01,1.07914
1970-11-01,2.54545
1970-12-01,2.52708
1971-01-01,3.26087
1971-02-01,1.43885
1971-03-01,2.57353
1971-04-01,-2.82686
1971-05-01,-2.13523
1971-06-01,-0.35971
1971-07-01,-2.50000
1971-08-01,3.27273
1971-09-01,3.24910
1971-10-01,2.13523
1971-11-01,0.70922
1971-12-01,0.35211
1972-01-01,-0.70175
1972-02-01,-0.35461
1972-03-01,0.71685
1972-04-01,1.09091
1972-05-01,1.81818
1972-06-01,0.36101
1972-07-01,2.56410
1972-08-01,0.00000
1972-09-01,1.39860
1972-10-01,1.39373
1972-11-01,3.16901
1972-12-01,2.80702
1973-01-01,3.88693
1973-02-01,5.33808
1973-03-01,5.69395
1973-04-01,8.63309
1973-05-01,8.57143
1973-06-01,11.87050
1973-07-01,10.71429
1973-08-01,9.15493
1973-09-01,6.20690
1973-10-01,10.65292
1973-11-01,15.01706
1973-12-01,20.13652
1974-01-01,26.53061
1974-02-01,32.77027
1974-03-01,42.08754
1974-04-01,41.72185
1974-05-01,43.42105
1974-06-01,40.51447
1974-07-01,40.96774
1974-08-01,40.32258
1974-09-01,40.58442
1974-10-01,32.29814
1974-11-01,25.81602
1974-12-01,20.73864
1975-01-01,15.05376
1975-02-01,8.90585
1975-03-01,1.89573
1975-04-01,0.46729
1975-05-01,-0.22936
1975-06-01,1.83066
1975-07-01,5.49199
1975-08-01,7.12644
1975-09-01,8.54503
1975-10-01,11.26761
1975-11-01,11.79245
1975-12-01,11.05882
1976-01-01,10.04673
1976-02-01,9.34579
1976-03-01,7.67442
1976-04-01,6.51163
1976-05-01,5.97701
1976-06-01,4.94382
1976-07-01,1.51844
1976-08-01,0.64378
1976-09-01,0.42553
1976-10-01,0.84388
1976-11-01,1.68776
1976-12-01,2.33051
1977-01-01,2.97240
1977-02-01,5.12821
1977-03-01,7.34341
1977-04-01,8.51528
1977-05-01,8.67679
1977-06-01,6.63812
1977-07-01,5.55556
1977-08-01,5.33049
1977-09-01,5.08475
1977-10-01,4.81172
1977-11-01,4.77178
1977-12-01,5.38302
1978-01-01,4.94845
1978-02-01,2.84553
1978-03-01,2.21328
1978-04-01,1.60966
1978-05-01,0.79840
1978-06-01,1.80723
1978-07-01,3.44130
1978-08-01,4.85830
1978-09-01,6.04839
1978-10-01,6.78643
1978-11-01,7.72277
1978-12-01,8.84086
1979-01-01,10.01965
1979-02-01,11.46245
1979-03-01,16.33858
1979-04-01,23.16832
1979-05-01,29.30693
1979-06-01,36.29191
1979-07-01,42.27006
1979-08-01,46.71815
1979-09-01,49.80989
1979-10-01,50.28037
1979-11-01,50.36765
1979-12-01,51.44404
1980-01-01,60.35714
1980-02-01,67.19858
1980-03-01,68.69712
1980-04-01,58.68167
1980-05-01,51.14855
1980-06-01,42.11288
1980-07-01,34.66300
1980-08-01,28.68421
1980-09-01,24.11168
1980-10-01,22.63682
1980-11-01,20.78240
1980-12-01,18.35518
1981-01-01,15.36748
1981-02-01,16.75504
1981-03-01,13.34002
1981-04-01,12.05674
1981-05-01,10.43566
1981-06-01,9.77597
1981-07-01,9.49949
1981-08-01,9.61145
1981-09-01,10.12270
1981-10-01,9.93915
1981-11-01,10.32389
1981-12-01,9.36556
1982-01-01,4.44015
1982-02-01,-3.63306
1982-03-01,-8.31858
1982-04-01,-12.11573
1982-05-01,-10.27523
1982-06-01,-4.63822
1982-07-01,-2.70522
1982-08-01,-2.89179
1982-09-01,-4.08542
1982-10-01,-4.79705
1982-11-01,-5.59633
1982-12-01,-7.64273
1983-01-01,-8.41035
1983-02-01,-9.70782
1983-03-01,-9.07336
1983-04-01,1.13169
1983-05-01,2.76074
1983-06-01,-1.65370
1983-07-01,-2.78044
1983-08-01,-1.92123
1983-09-01,-1.93611
1983-10-01,-2.42248
1983-11-01,-3.20700
1983-12-01,-1.59521
1984-01-01,-0.10091
1984-02-01,3.75783
1984-03-01,6.36943
1984-04-01,1.52594
1984-05-01,-1.09453
1984-06-01,-2.86845
1984-07-01,-5.02959
1984-08-01,-6.85602
1984-09-01,-5.33070
1984-10-01,-3.37637
1984-11-01,-2.71084
1984-12-01,-2.83688
1985-01-01,-2.72727
1985-02-01,-2.81690
1985-03-01,-2.09581
1985-04-01,-0.10020
1985-05-01,-0.10060
1985-06-01,1.52749
1985-07-01,3.84216
1985-08-01,3.57518
1985-09-01,2.39833
1985-10-01,0.82220
1985-11-01,1.96078
1985-12-01,3.75391
1986-01-01,3.94600
1986-02-01,-1.03520
1986-03-01,-14.98471
1986-04-01,-25.67703
1986-05-01,-24.06848
1986-06-01,-21.86560
1986-07-01,-27.10000
1986-08-01,-30.05076
1986-09-01,-28.00407
1986-10-01,-29.56167
1986-11-01,-30.76923
1986-12-01,-30.65327
1987-01-01,-25.97403
1987-02-01,-17.99163
1987-03-01,-5.87530
1987-04-01,6.88259
1987-05-01,3.05040
1987-06-01,1.92555
1987-07-01,11.11111
1987-08-01,20.60958
1987-09-01,16.69024
1987-10-01,19.39219
1987-11-01,20.76023
1987-12-01,18.69565
1988-01-01,9.44669
1988-02-01,2.93367
1988-03-01,1.78344
1988-04-01,1.51515
1988-05-01,3.21750
1988-06-01,0.75567
1988-07-01,0.12346
1988-08-01,-0.60168
1988-09-01,-1.21212
1988-10-01,-2.18182
1988-11-01,-2.30024
1988-12-01,-1.83150
1989-01-01,0.00000
1989-02-01,2.35440
1989-03-01,5.50688
1989-04-01,16.79104
1989-05-01,19.45137
1989-06-01,17.50000
1989-07-01,14.91985
1989-08-01,7.86925
